Country,2012,2012_Footnote, 2013,2013_Footnote, 2014,2014_Footnote, 2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote, 2019,2019_Footnote
Kazakhstan,30 400 000,"Source:GARPR 2002- 2014",30 900 000,"Source:GARPR 2002- 2014",40 700 000,"Source:GARPR 2015",32 700 000,"Source:GAM 2017",27 200 000,"Source:GAM 2017",31 000 000,"Source:GAM_2018",31 100 000,"Source:GAM_2019",33 400 000,"Source:GAM_2020"
Kenya,141 000 000,"Source:GAM 2017",190 000 000,"Source:GAM_2018",234 000 000,"Source:GAM_2018",,,260 000 000,"Source:GAM_2018",342 000 000,"Source:GAM_2018",,,175 000 000,"Source:GAM_2020"
Kiribati,,,,,290 000,"Source:GARPR 2015",,,80 000,"Source:GAM 2017 validated records",19 000,"Source:GAM_2018",100 000,"Source:GAM_2019",170 000,"Source:GAM_2020"
Kuwait,59 500 000,"Source:GARPR 2002- 2014",59 500 000,"Source:GARPR 2002- 2014",22 400 000,"Source:GARPR 2015",,,32 400 000,"Source:GAM 2017",,,,,,
Kyrgyzstan,3 900 000,"Source:GARPR 2002- 2014",4 200 000,"Source:GARPR 2002- 2014",6 900 000,"Source:GARPR 2015",,,1 800 000,"Source:GAM_2018",2 200 000,"Source:GAM_2018",2 500 000,"Source:GAM_2019",2 000 000,"Source:GAM_2020"
Lao People's Democratic Republic,,,,,,,,,2 100 000,"Source:GAM_2018",570 000,"Source:GAM_2018",,,560 000,"Source:GAM_2020"
Latvia,620 000,"Source:GARPR 2002- 2014",9 500 000,"Source:GARPR 2002- 2014",8 700 000,"Source:GARPR 2015",,,10 300 000,"Source:GAM 2017",,,,,,
Lebanon,,,3 200 000,"Source:GARPR 2002- 2014",,,,,,,,,,,6 600 000,"Source:GAM_2020"
Lesotho,,,,,48 600 000,"Source:GAM 2017",29 700 000,"Source:GAM_2020",22 500 000,"Source:GAM_2020",20 800 000,"Source:GAM_2020",,,,
Liberia,,,,,42 000,"Source:GAM_2019",,,,,,,,,,
Lithuania,2 500 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Madagascar,4 300 000,"Source:GARPR 2002- 2014",4 100 000,"Source:GAM_2018",3 000 000,"Source:GAM_2018",2 000 000,"Source:GAM_2018",370 000,"Source:GAM_2018",290 000,"Source:GAM_2018",150 000,"Source:GAM_2020",,
Malawi,11 800 000,"Source:GARPR 2015",,,,,20 800 000,"Source:GAM_2018",20 800 000,"Source:GAM_2018",5 600 000,"Source:GAM_2018",,,4 600 000,"Source:GAM_2020"
Malaysia,54 100 000,"Source:GARPR 2002- 2014",55 200 000,"Source:GARPR 2002- 2014",49 800 000,"Source:GARPR 2015",,,,,35 100 000,"Source:GAM_2018",,,23 200 000,"Source:GAM_2020"
Mali,6 100 000,"Source:GARPR 2002- 2014",,,,,,,6 100 000,"Source:GAM_2020",,,,,6 100 000,"Source:GAM_2020"
Marshall Islands,75 000,"Source:GARPR 2002- 2014",85 000,"Source:GARPR 2015",85 000,"Source:GARPR 2015",,,,,,,,,,
Mauritania,620 000,"Source:GARPR 2002- 2014",,,,,,,,,,,1 200 000,"Source:GAM_2019",,
Mauritius,,,,,,,,,,,,,5 600 000,"Source:GAM_2019",,
Mexico,,,630 000 000,"Source:GAM_2018",,,867 000 000,"Source:GAM_2018",,,,,,,,
Mongolia,,,1 300 000,"Source:GARPR 2015",1 600 000,"Source:GARPR 2015",,,3 000 000,"Source:GAM_2019",,,,,920 000,"Source:GAM_2020"
Morocco,8 000 000,"Source:GARPR 2015",9 900 000,"Source:GARPR 2015",,,10 400 000,"Source:GARPR 2016 pending country verification",10 300 000,"Source:GAM 2017",18 200 000,"Source:GAM_2018",,,,
Mozambique,8 600 000,"Source:GARPR 2015",16 900 000,"Source:GARPR 2015",12 200 000,"Source:GARPR 2015",12 700 000,"Source:GAM 2017 validated records",8 500 000,"Source:GAM 2017 validated records",,,,,23 600 000,"Source:GAM_2020"
Myanmar,730 000,"Source:GARPR 2015",4 100 000,"Source:GARPR 2015",,,,,11 100 000,"Source:GAM_2019",20 200 000,"Source:GAM_2019",,,,
Namibia,111 000 000,"Source:GARPR 2015",137 000 000,"Source:GAM_2018",111 000 000,"Source:GAM_2018",,,96 100 000,"Source:GAM_2020",124 000 000,"Source:GAM_2019",,,,
Nepal,,,2 100 000,"Source:GAM_2018",2 000 000,"Source:GAM_2018",,,1 200 000,"Source:GAM_2019",1 800 000,"Source:GAM_2019",2 300 000,"Source:GAM_2019",18 000,"Source:GAM_2020"
Niger,4 800 000,"Source:GARPR 2002- 2014",3 900 000,"Source:GAM_2018",4 300 000,"Source:GAM_2018",8 000 000,"Source:GAM_2018",7 600 000,"Source:GAM_2018",250 000,"Source:GAM_2018",,,,
Nigeria,123 000 000,"Source:GARPR 2002- 2014",,,,,73 300 000,"Source:GAM_2020",79 500 000,"Source:GAM_2020",66 000 000,"Source:GAM_2020",91 500 000,"Source:GAM_2020",,
Oman,5 300 000,"Source:GARPR 2002- 2014",3 800 000,"Source:GARPR 2002- 2014",4 300 000,"Source:GARPR 2015",,,,,,,,,,
Pakistan,3 500 000,"Source:GARPR 2002- 2014",3 600 000,"Source:GARPR 2002- 2014",,,,,,,,,,,1 600 000,"Source:GAM_2020"
Palau,,,35 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Panama,19 300 000,"Source:GARPR 2015",,,,,,,,,,,32 300 000,"Source:GAM_2020",,
Papua New Guinea,6 400 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Paraguay,9 500 000,"Source:GARPR 2002- 2014",10 800 000,"Source:GARPR 2002- 2014",,,,,,,,,2 200 000,"Source:GAM_2020",2 600 000,"Source:GAM_2020"
Peru,,,70 400 000,"Source:GARPR 2002- 2014",78 100 000,"Source:GARPR 2015",,,,,,,,,,
Philippines,4 700 000,"Source:GARPR 2002- 2014",4 500 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Poland,83 200 000,"Source:GARPR 2002- 2014",90 200 000,"Source:GARPR 2002- 2014",83 700 000,"Source:GARPR 2015",,,,,,,,,,
Portugal,10 400 000,"Source:GARPR 2002- 2014",275 000 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Republic of Moldova,2 400 000,"Source:GARPR 2015",2 300 000,"Source:GAM_2018",2 300 000,"Source:GAM_2018",2 400 000,"Source:GAM_2018",2 900 000,"Source:GAM_2018",3 300 000,"Source:GAM_2018",4 200 000,"Source:GAM_2019",5 100 000,"Source:GAM_2020"
Romania,34 400 000,"Source:GARPR 2002- 2014",,,98 500 000,"Source:GARPR 2015",,,,,,,,,,
Russian Federation,,,546 000 000,"Source:GARPR 2015",513 000 000,"Source:GARPR 2015",,,,,695 000 000,"Source:GAM_2018",,,,
Rwanda,19 900 000,"Source:GARPR 2002- 2014",,,17 300 000,"Source:GAM_2018",19 900 000,"Source:GAM_2018",,,,,,,,
Saint Kitts and Nevis,82 000,"Source:GARPR 2002- 2014",85 000,"Source:GARPR 2002- 2014",,,,,,,170 000,"Source:GAM_2018",190 000,"Source:GAM_2019",140 000,"Source:GAM_2020"
Saint Lucia,,,,,,,,,110 000,"Source:GAM 2017",150 000,"Source:GAM_2018",,,240 000,"Source:GAM_2020"
Saint Vincent and the Grenadines,620 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Samoa,,,60 000,"Source:GARPR 2002- 2014",,,,,,,11 000,"Source:GAM_2018",35 000,"Source:GAM_2019",12 000,"Source:GAM_2020"
Sao Tome and Principe,16 000,"Source:GARPR 2002- 2014",61 000,"Source:GARPR 2002- 2014",31 000,"Source:GARPR 2015",,,,,,,,,,
Senegal,4 500 000,"Source:GARPR 2016 pending country verification",4 800 000,"Source:GARPR 2016 pending country verification",2 000 000,"Source:GAM_2018",1 900 000,"Source:GAM_2018",,,,,,,,
Serbia,9 100 000,"Source:GARPR 2002- 2014",11 500 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Seychelles,4 300 000,"Source:GARPR 2015",2 800 000,"Source:GARPR 2015",3 500 000,"Source:GARPR 2015",,,9 900 000,"Source:GAM 2017",,,3 700 000,"Source:GAM_2020",1 900 000,"Source:GAM_2020"
Singapore,23 700 000,"Source:GARPR 2002- 2014",23 700 000,"Source:GARPR 2002- 2014",23 200 000,"Source:GARPR 2015",,,27 000 000,"Source:GAM 2017",52 100 000,"Source:GAM_2018",,,,
Solomon Islands,,,,,,,,,,,,,1 200 000,"Source:GAM_2019",,
Somalia,,,,,,,,,,,,,,,<100,"Source:GAM_2020"
South Africa,,,,,1 340 000 000,"Source:GAM 2017",,,,,1 890 000 000,"Source:GAM_2019",1 920 000 000,"Source:GAM_2020",,
South Sudan,2 300 000,"Source:GARPR 2002- 2014",,,,,9 500 000,"Source:GAM_2020",14 500 000,"Source:GAM_2020",,,3 400 000,"Source:GAM_2020",,
Spain,8 300 000,"Source:GARPR 2002- 2014",919 000 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Sri Lanka,,,670 000,"Source:GARPR 2015",,,,,,,,,,,2 700 000,"Source:GAM_2020"
Sudan,4 700 000,"Source:GARPR 2002- 2014",3 700 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Switzerland,3 400 000,"Source:GARPR 2002- 2014",,,8 000 000,"Source:GAM 2017",7 200 000,"Source:GAM 2017",7 200 000,"Source:GAM 2017",,,,,,
Tajikistan,2 600 000,"Source:GARPR 2002- 2014",3 400 000,"Source:GARPR 2002- 2014",,,,,,,940 000,"Source:GAM_2018",820 000,"Source:GAM_2019",,
Thailand,254 000 000,"Source:GARPR 2002- 2014",257 000 000,"Source:GARPR 2002- 2014",,,,,,,,,229 000 000,"Source:GAM_2020",271 000 000,"Source:GAM_2020"
The former Yugoslav Republic of Macedonia,,,,,,,,,,,,,,,2 200 000,"Source:GAM_2020"
Togo,6 300 000,"Source:GARPR 2002- 2014",3 800 000,"Source:GARPR 2015",2 200 000,"Source:GARPR 2015",1 400 000,"Source:GAM 2017",2 000 000,"Source:GAM_2018",4 800 000,"Source:GAM_2019",,,3 800 000,"Source:GAM_2020"
Tonga,,,,,56 000,"Source:GARPR 2015",,,,,,,,,,
Turkey,12 300 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Tuvalu,,,10 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Ukraine,71 800 000,"Source:GARPR 2015",,,,,29 400 000,"Source:GAM 2017 validated records",24 000 000,"Source:GAM_2018",46 200 000,"Source:GAM_2020",,,,
United Arab Emirates,32 500 000,"Source:GARPR 2002- 2014",,,,,,,,,34 600 000,"Source:GAM_2018",,,18 500 000,"Source:GAM_2020"
United Republic of Tanzania,,,,,,,,,,,,,<100,"Source:GAM_2020",<100,"Source:GAM_2020"
Uzbekistan,13 300 000,"Source:GARPR 2002- 2014",11 900 000,"Source:GARPR 2002- 2014",11 600 000,"Source:GARPR 2015",,,,,,,,,2 400 000,"Source:GAM_2020"
Vanuatu,,,62 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Venezuela (Bolivarian Republic of),65 900 000,"Source:GARPR 2002- 2014",71 800 000,"Source:GARPR 2002- 2014",,,,,8 600 000,"Source:GAM_2018",330 000,"Source:GAM_2018",2 200 000,"Source:GAM_2019",6 400 000,"Source:GAM_2020"
Viet Nam,30 300 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Zambia,15 800 000,"Source:GARPR 2002- 2014",,,,,,,,,36 700 000,"Source:GAM_2019",,,,
Zimbabwe,34 600 000,"Source:GARPR 2002- 2014",34 300 000,"Source:GARPR 2002- 2014",,,,,47 600 000,"Source:GAM_2019",49 600 000,"Source:GAM_2019",,,45 200 000,"Source:GAM_2020"
