Country,2012,2012_Footnote, 2013,2013_Footnote, 2014,2014_Footnote, 2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote, 2019,2019_Footnote
Belize,1 900 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Benin,18 700 000,"Source:GAM_2018",19 000 000,"Source:GAM 2017 validated records",16 400 000,"Source:GAM_2018",14 100 000,"Source:GAM_2018",13 800 000,"Source:GAM_2018",16 400 000,"Source:GAM_2018",11 400 000,"Source:GAM_2019",13 900 000,"Source:GAM_2020"
Bolivia (Plurinational State of),4 900 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Botswana,,,,,48 900 000,"Source:GAM_2019",52 900 000,"Source:GAM_2019",59 500 000,"Source:GAM_2019",58 400 000,"Source:GAM_2019",,,,
Brazil,9 300 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,<100,"Source:GAM_2020"
Bulgaria,4 100 000,"Source:GARPR 2016 pending country verification",3 200 000,"Source:GARPR 2016 pending country verification",4 900 000,"Source:GARPR 2016 pending country verification",3 100 000,"Source:GARPR 2016 pending country verification",,,,,,,,
Burkina Faso,20 800 000,"Source:GARPR 2015",41 200 000,"Source:GARPR 2015",,,,,,,18 200 000,"Source:GAM_2019",,,24 400 000,"Source:GAM_2020"
Burundi,36 500 000,"Source:GARPR 2002- 2014",39 500 000,"Source:GARPR 2002- 2014",16 000 000,"Source:GARPR 2015",,,,,,,,,,
Cabo Verde,17 000,"Source:GARPR 2002- 2014",3 100 000,"Source:GARPR 2002- 2014",1 400 000,"Source:GARPR 2015",,,,,,,,,,
Cambodia,44 700 000,"Source:GARPR 2002- 2014",,,,,34 900 000,"Source:GAM_2020",,,,,,,,
Cameroon,30 500 000,"Source:GARPR 2002- 2014",44 000 000,"Source:GARPR 2015",,,,,,,,,,,,
Chad,9 900 000,"Source:GARPR 2002- 2014",12 900 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Chile,230 000,"Source:GARPR 2002- 2014",,,,,55 000,"Source:GAM 2017 validated records",110 000,"Source:GAM_2018",170 000,"Source:GAM_2019",,,16 000,"Source:GAM_2020"
China,76 600 000,"Source:GARPR 2002- 2014",36 800 000,"Source:GARPR 2002- 2014",8 900 000,"Source:GARPR 2015",,,3 200 000,"Source:GAM_2018",,,3 600 000,"Source:GAM_2019",1 000 000,"Source:GAM_2020"
Colombia,180 000,"Source:GARPR 2002- 2014",310 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Comoros,1 400 000,"Source:GARPR 2002- 2014",460 000,"Source:GARPR 2002- 2014",780 000,"Source:GARPR 2015",,,800 000,"Source:GAM 2017",2 100 000,"Source:GAM_2018",1 100 000,"Source:GAM_2019",1 500 000,"Source:GAM_2020"
Costa Rica,1 700 000,"Source:GARPR 2002- 2014",,,880 000,"Source:GAM_2018",,,,,,,2 100 000,"Source:GAM_2020",,
Croatia,30 000,"Source:GARPR 2002- 2014",1800,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Cuba,9 100 000,"Source:GARPR 2002- 2014",5 900 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Côte d'Ivoire,110 000 000,"Source:GARPR 2016 pending country verification",54 500 000,"Source:GAM_2018",,,,,,,,,,,,
Democratic Republic of the Congo,140 000 000,"Source:GARPR 2002- 2014",104 000 000,"Source:GARPR 2016",94 900 000,"Source:GARPR 2016",59 100 000,"Source:GAM_2020",136 000 000,"Source:GAM_2020",155 000 000,"Source:GAM_2020",,,,
Djibouti,3 000 000,"Source:GARPR 2002- 2014",,,2 600 000,"Source:GARPR 2015",,,,,,,,,,
Dominica,160 000,"Source:GARPR 2002- 2014",,,,,,,,,90 000,"Source:GAM_2018",,,37 000,"Source:GAM_2020"
Dominican Republic,20 700 000,"Source:GARPR 2002- 2014",13 100 000,"Source:GAM_2018",11 400 000,"Source:GAM_2018",8 700 000,"Source:GAM_2018",14 600 000,"Source:GAM_2018",6 200 000,"Source:GAM_2018",28 800 000,"Source:GAM_2020",31 200 000,"Source:GAM_2020"
Ecuador,,,,,6 600 000,"Source:GARPR 2015",,,,,,,500 000,"Source:GAM_2019",<100,"Source:GAM_2020"
El Salvador,14 000 000,"Source:GARPR 2002- 2014",13 800 000,"Source:GARPR 2002- 2014",14 800 000,"Source:GARPR 2015",12 300 000,"Source:GARPR 2016 pending country verification",,,8 600 000,"Source:GAM_2018",9 200 000,"Source:GAM_2019",9 800 000,"Source:GAM_2020"
Equatorial Guinea,460 000,"Source:GARPR 2002- 2014",610 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,4 600 000,"Source:GAM_2019",4 200 000,"Source:GAM_2020"
Eswatini,56 100 000,"Source:GARPR 2002- 2014",63 800 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Ethiopia,,,,,,,,,297 000 000,"Source:GAM 2017 validated records",,,242 000 000,"Source:GAM_2020",179 000 000,"Source:GAM_2020"
Fiji,340 000,"Source:GARPR 2002- 2014",,,63 000,"Source:GARPR 2015",,,160 000,"Source:GAM 2017",,,,,,
Gabon,2 000 000,"Source:GARPR 2015",750 000,"Source:GARPR 2015",450 000,"Source:GARPR 2015",,,,,,,270 000,"Source:GAM_2020",,
Gambia,,,,,,,,,,,,,,,<100,"Source:GAM_2020"
Georgia,11 100 000,"Source:GARPR 2016 pending country verification",9 100 000,"Source:GARPR 2016 pending country verification",7 000 000,"Source:GARPR 2016 pending country verification",5 100 000,"Source:GARPR 2016 pending country verification",,,6 100 000,"Source:GAM_2018",,,1 700 000,"Source:GAM_2020"
Ghana,87 400 000,"Source:GARPR 2015",40 500 000,"Source:GARPR 2015",106 000 000,"Source:GAM 2017",45 200 000,"Source:GARPR 2016 pending country verification",42 700 000,"Source:GAM 2017",,,,,,
Grenada,120 000,"Source:GARPR 2002- 2014",39 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Guatemala,20 600 000,"Source:GAM 2017 validated records",19 800 000,"Source:GAM 2017 validated records",16 600 000,"Source:GAM 2017 validated records",,,11 500 000,"Source:GAM_2020",11 700 000,"Source:GAM_2020",11 100 000,"Source:GAM_2020",7 600 000,"Source:GAM_2020"
Guinea,9 500 000,"Source:GARPR 2002- 2014",11 800 000,"Source:GARPR 2002- 2014",10 800 000,"Source:GARPR 2015",,,17 800 000,"Source:GAM 2017",8 200 000,"Source:GAM_2018",4 900 000 000,"Source:GAM_2020",20 300 000,"Source:GAM_2020"
Guyana,17 400 000,"Source:GARPR 2015",,,,,,,,,,,,,,
Haiti,115 000 000,"Source:GARPR 2002- 2014",128 000 000,"Source:GARPR 2002- 2014",135 000 000,"Source:GAM 2017",125 000 000,"Source:GAM 2017",108 000 000,"Source:GAM_2018",,,,,,
Honduras,18 000 000,"Source:GARPR 2002- 2014",17 200 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Indonesia,50 200 000,"Source:GARPR 2002- 2014",,,,,59 200 000,"Source:GAM_2019",70 400 000,"Source:GAM_2019",67 000 000,"Source:GAM_2020",34 300 000,"Source:GAM_2020",,
Iran (Islamic Republic of),3 000 000,"Source:GARPR 2015",,,,,,,,,,,,,,
Jamaica,7 100 000,"Source:GARPR 2015",6 800 000,"Source:GAM 2017",9 500 000,"Source:GAM 2017",6 900 000,"Source:GAM_2018",15 300 000,"Source:GAM_2018",,,,,,
Jordan,970 000,"Source:GARPR 2002- 2014",80 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Kazakhstan,7 500 000,"Source:GARPR 2002- 2014",6 900 000,"Source:GARPR 2002- 2014",2 400 000,"Source:GARPR 2015",1 300 000,"Source:GAM 2017",4 500 000,"Source:GAM 2017",3 800 000,"Source:GAM_2018",2 500 000,"Source:GAM_2019",1 800 000,"Source:GAM_2020"
Kenya,501 000 000,"Source:GAM 2017",542 000 000,"Source:GAM_2018",600 000 000,"Source:GAM_2018",,,603 000 000,"Source:GAM_2018",741 000 000,"Source:GAM_2018",,,550 000 000,"Source:GAM_2020"
Kiribati,340 000,"Source:GARPR 2002- 2014",,,380 000,"Source:GARPR 2015",,,170 000,"Source:GAM 2017 validated records",1 100 000,"Source:GAM_2018",120 000,"Source:GAM_2019",<100,"Source:GAM_2020"
Kyrgyzstan,9 500 000,"Source:GARPR 2002- 2014",13 400 000,"Source:GARPR 2002- 2014",9 000 000,"Source:GARPR 2015",,,20 200 000,"Source:GAM_2018",15 100 000,"Source:GAM_2018",7 500 000,"Source:GAM_2019",4 900 000,"Source:GAM_2020"
Lao People's Democratic Republic,,,,,,,,,6 200 000,"Source:GAM_2018",4 100 000,"Source:GAM_2018",,,590 000,"Source:GAM_2020"
Latvia,,,,,77 000,"Source:GARPR 2015",,,13 000,"Source:GAM 2017",,,,,,
Lebanon,,,2 000 000,"Source:GARPR 2002- 2014",,,,,,,780 000,"Source:GAM_2018",,,210 000,"Source:GAM_2020"
Lesotho,,,63 500 000,"Source:GAM 2017",66 000 000,"Source:GAM 2017",69 600 000,"Source:GAM_2020",78 800 000,"Source:GAM_2020",89 500 000,"Source:GAM_2020",,,,
Liberia,,,,,11 500 000,"Source:GAM_2019",10 300 000,"Source:GAM_2019",,,,,,,,
Madagascar,5 600 000,"Source:GARPR 2002- 2014",2 700 000,"Source:GAM_2018",2 700 000,"Source:GAM_2018",3 700 000,"Source:GAM_2018",3 300 000,"Source:GAM_2018",4 900 000,"Source:GAM_2018",<100,"Source:GAM_2020",,
Malawi,134 000 000,"Source:GARPR 2015",,,,,205 000 000,"Source:GAM_2018",205 000 000,"Source:GAM_2018",213 000 000,"Source:GAM_2018",,,254 000 000,"Source:GAM_2020"
Malaysia,1 700 000,"Source:GARPR 2002- 2014",2 100 000,"Source:GARPR 2002- 2014",2 500 000,"Source:GARPR 2015",,,,,1 100 000,"Source:GAM_2018",,,540 000,"Source:GAM_2020"
Mali,15 500 000,"Source:GARPR 2002- 2014",,,,,,,27 100 000,"Source:GAM_2020",,,,,27 100 000,"Source:GAM_2020"
Marshall Islands,370 000,"Source:GARPR 2002- 2014",430 000,"Source:GARPR 2015",590 000,"Source:GARPR 2015",,,,,,,,,,
Mauritania,3 300 000,"Source:GARPR 2002- 2014",2 700 000,"Source:GARPR 2002- 2014",,,,,,,,,2 200 000,"Source:GAM_2019",,
Mauritius,,,,,,,,,,,,,1 900 000,"Source:GAM_2019",,
Mexico,,,8 600 000,"Source:GAM_2018",,,1 200 000,"Source:GAM_2018",,,,,,,,
Micronesia (Federated States of),450 000,"Source:GARPR 2002- 2014",520 000,"Source:GARPR 2002- 2014",340 000,"Source:GARPR 2015",,,,,410 000,"Source:GAM_2018",,,,
Mongolia,,,2 200 000,"Source:GARPR 2015",1 200 000,"Source:GARPR 2015",,,2 200 000,"Source:GAM_2019",,,,,1 100 000,"Source:GAM_2020"
Morocco,10 300 000,"Source:GARPR 2015",10 400 000,"Source:GARPR 2015",,,10 800 000,"Source:GARPR 2016 pending country verification",10 900 000,"Source:GAM 2017",19 300 000,"Source:GAM_2018",,,,
Mozambique,247 000 000,"Source:GARPR 2015",333 000 000,"Source:GARPR 2015",339 000 000,"Source:GARPR 2015",331 000 000,"Source:GAM 2017 validated records",321 000 000,"Source:GAM 2017 validated records",,,,,534 000 000,"Source:GAM_2020"
Myanmar,37 300 000,"Source:GARPR 2015",48 000 000,"Source:GARPR 2015",,,,,73 300 000,"Source:GAM_2019",83 900 000,"Source:GAM_2019",,,,
Namibia,87 400 000,"Source:GARPR 2015",74 300 000,"Source:GAM_2018",87 400 000,"Source:GAM_2018",,,63 100 000,"Source:GAM_2020",83 400 000,"Source:GAM_2019",,,,
Nepal,,,13 000 000,"Source:GAM_2018",15 400 000,"Source:GAM_2018",,,16 300 000,"Source:GAM_2019",16 800 000,"Source:GAM_2019",13 400 000,"Source:GAM_2019",98 000,"Source:GAM_2020"
Niger,10 800 000,"Source:GARPR 2002- 2014",9 600 000,"Source:GAM_2018",6 600 000,"Source:GAM_2018",6 400 000,"Source:GAM_2018",11 200 000,"Source:GAM_2018",32 000 000,"Source:GAM_2018",,,,
Nigeria,442 000 000,"Source:GARPR 2002- 2014",,,,,428 000 000,"Source:GAM_2020",472 000 000,"Source:GAM_2020",491 000 000,"Source:GAM_2020",441 000 000,"Source:GAM_2020",,
Oman,100 000,"Source:GARPR 2002- 2014",57 000,"Source:GARPR 2002- 2014",11 000,"Source:GARPR 2015",,,,,,,,,,
Pakistan,7 000 000,"Source:GARPR 2002- 2014",6 400 000,"Source:GARPR 2002- 2014",,,,,,,,,,,1 300 000,"Source:GAM_2020"
Palau,,,370 000,"Source:GARPR 2002- 2014",30 000,"Source:GARPR 2015",,,,,,,,,,
Panama,3 400 000,"Source:GARPR 2015",,,,,,,,,,,3 700 000,"Source:GAM_2020",,
Papua New Guinea,29 500 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Paraguay,2 500 000,"Source:GARPR 2002- 2014",3 000 000,"Source:GARPR 2002- 2014",,,,,,,,,<100,"Source:GAM_2020",1 300 000,"Source:GAM_2020"
Peru,,,4 500 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Philippines,5 000 000,"Source:GARPR 2002- 2014",5 800 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Poland,16 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Republic of Moldova,6 700 000,"Source:GARPR 2015",5 500 000,"Source:GAM_2018",6 800 000,"Source:GAM_2018",5 000 000,"Source:GAM_2018",4 600 000,"Source:GAM_2018",5 200 000,"Source:GAM_2018",4 100 000,"Source:GAM_2019",3 600 000,"Source:GAM_2020"
Romania,200 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Russian Federation,,,,,,,,,,,82 000,"Source:GAM_2018",,,,
Rwanda,224 000 000,"Source:GARPR 2002- 2014",,,179 000 000,"Source:GAM_2018",198 000 000,"Source:GAM_2018",,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,25 000,"Source:GAM_2018",44 000,"Source:GAM_2019",6600,"Source:GAM_2020"
Saint Lucia,,,,,,,,,,,,,,,12 000,"Source:GAM_2020"
Saint Vincent and the Grenadines,820 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Samoa,,,840 000,"Source:GARPR 2002- 2014",,,,,,,190 000,"Source:GAM_2018",130 000,"Source:GAM_2019",68 000,"Source:GAM_2020"
Sao Tome and Principe,420 000,"Source:GARPR 2002- 2014",760 000,"Source:GARPR 2002- 2014",700 000,"Source:GARPR 2015",,,,,,,,,,
Senegal,18 500 000,"Source:GARPR 2016 pending country verification",15 700 000,"Source:GARPR 2016 pending country verification",13 500 000,"Source:GAM_2018",9 400 000,"Source:GAM_2018",,,,,,,,
Serbia,4 300 000,"Source:GARPR 2002- 2014",4 900 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Seychelles,410 000,"Source:GARPR 2002- 2014",53 000,"Source:GARPR 2002- 2014",36 000,"Source:GARPR 2015",,,130 000,"Source:GAM 2017",,,<100,"Source:GAM_2020",<100,"Source:GAM_2020"
Somalia,,,,,,,,,,,,,6 000 000,"Source:GAM_2019",6 500 000,"Source:GAM_2020"
South Africa,,,,,501 000 000,"Source:GAM 2017",,,,,543 000 000,"Source:GAM_2019",584 000 000,"Source:GAM_2020",,
South Sudan,21 900 000,"Source:GARPR 2002- 2014",,,,,15 500 000,"Source:GAM_2020",29 800 000,"Source:GAM_2020",,,9 600 000,"Source:GAM_2020",,
Spain,969 000 000,"Source:GARPR 2002- 2014",620 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Sri Lanka,,,560 000,"Source:GARPR 2015",,,,,,,,,,,1 600 000,"Source:GAM_2020"
Sudan,12 300 000,"Source:GARPR 2002- 2014",9 100 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Tajikistan,9 800 000,"Source:GARPR 2002- 2014",10 400 000,"Source:GARPR 2002- 2014",,,,,,,10 800 000,"Source:GAM_2018",3 600 000,"Source:GAM_2019",,
Thailand,29 000 000,"Source:GARPR 2002- 2014",30 500 000,"Source:GARPR 2002- 2014",,,,,,,,,28 900 000,"Source:GAM_2020",24 500 000,"Source:GAM_2020"
The former Yugoslav Republic of Macedonia,,,,,,,,,,,,,,,110 000,"Source:GAM_2020"
Togo,12 300 000,"Source:GARPR 2002- 2014",15 800 000,"Source:GARPR 2015",15 400 000,"Source:GARPR 2015",14 900 000,"Source:GAM 2017",19 600 000,"Source:GAM_2018",31 400 000,"Source:GAM_2019",,,14 500 000,"Source:GAM_2020"
Tonga,,,,,80 000,"Source:GARPR 2015",,,,,,,,,,
Tuvalu,,,24 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Ukraine,41 500 000,"Source:GARPR 2015",,,,,65 900 000,"Source:GAM 2017 validated records",78 500 000,"Source:GAM_2018",61 600 000,"Source:GAM_2020",,,,
United Arab Emirates,,,,,,,,,,,,,,,<100,"Source:GAM_2020"
United Republic of Tanzania,,,,,,,,,,,,,440 000 000,"Source:GAM_2020",533 000 000,"Source:GAM_2020"
Uzbekistan,10 800 000,"Source:GARPR 2002- 2014",9 400 000,"Source:GARPR 2002- 2014",7 500 000,"Source:GARPR 2015",,,,,,,,,560 000,"Source:GAM_2020"
Vanuatu,330 000,"Source:GARPR 2002- 2014",810 000,"Source:GARPR 2002- 2014",,,,,87 000,"Source:GAM 2017",,,,,,
Venezuela (Bolivarian Republic of),700 000,"Source:GARPR 2002- 2014",820 000,"Source:GARPR 2002- 2014",,,,,370 000,"Source:GAM_2018",40 000,"Source:GAM_2018",24 800 000,"Source:GAM_2019",8 600 000,"Source:GAM_2020"
Viet Nam,65 100 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Zambia,263 000 000,"Source:GARPR 2002- 2014",,,,,,,,,402 000 000,"Source:GAM_2019",,,,
Zimbabwe,221 000 000,"Source:GARPR 2002- 2014",219 000 000,"Source:GARPR 2002- 2014",,,,,284 000 000,"Source:GAM_2019",290 000 000,"Source:GAM_2019",,,298 000 000,"Source:GAM_2020"
