Country,2012,2012_Footnote, 2013,2013_Footnote, 2014,2014_Footnote, 2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote, 2019,2019_Footnote
Eswatini,82 600 000,"Source:GARPR 2002- 2014",96 900 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Ethiopia,,,,,,,,,352 000 000,"Source:GAM 2017 validated records",,,253 000 000,"Source:GAM_2020",189 000 000,"Source:GAM_2020"
Fiji,340 000,"Source:GARPR 2002- 2014",190 000,"Source:GARPR 2002- 2014",210 000,"Source:GARPR 2015",,,670 000,"Source:GAM 2017",,,,,,
Gabon,15 200 000,"Source:GARPR 2015",11 200 000,"Source:GARPR 2015",6 500 000,"Source:GARPR 2015",,,,,,,5 800 000,"Source:GAM_2020",,
Gambia,,,,,3 900 000,"Source:GARPR 2015",,,,,,,,,1 000 000,"Source:GAM_2020"
Georgia,16 600 000,"Source:GARPR 2016 pending country verification",16 100 000,"Source:GARPR 2016 pending country verification",17 000 000,"Source:GARPR 2016 pending country verification",16 000 000,"Source:GARPR 2016 pending country verification",,,19 900 000,"Source:GAM_2018",,,15 900 000,"Source:GAM_2020"
Ghana,145 000 000,"Source:GARPR 2015",107 000 000,"Source:GARPR 2015",152 000 000,"Source:GAM 2017",92 300 000,"Source:GARPR 2016 pending country verification",68 100 000,"Source:GAM 2017",,,,,,
Grenada,120 000,"Source:GARPR 2002- 2014",190 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Guatemala,53 200 000,"Source:GAM 2017 validated records",57 400 000,"Source:GAM 2017 validated records",55 500 000,"Source:GAM 2017 validated records",,,21 600 000,"Source:GAM_2020",23 800 000,"Source:GAM_2020",22 500 000,"Source:GAM_2020",27 900 000,"Source:GAM_2020"
Guinea,12 100 000,"Source:GARPR 2002- 2014",14 400 000,"Source:GARPR 2002- 2014",15 800 000,"Source:GARPR 2015",,,20 900 000,"Source:GAM 2017",8 900 000,"Source:GAM_2018",1 050 000 000,"Source:GAM_2020",27 300 000,"Source:GAM_2020"
Guyana,21 900 000,"Source:GARPR 2015",,,,,,,,,,,,,,
Haiti,116 000 000,"Source:GARPR 2002- 2014",128 000 000,"Source:GARPR 2002- 2014",138 000 000,"Source:GAM 2017",128 000 000,"Source:GAM 2017",112 000 000,"Source:GAM_2018",,,,,,
Honduras,38 300 000,"Source:GARPR 2002- 2014",36 700 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
India,206 000 000,"Source:GARPR 2002- 2014",145 000 000,"Source:GARPR 2002- 2014",164 000 000,"Source:GARPR 2015",,,,,371 000 000,"Source:GARPR 2002- 2014",275 000 000,"Source:GAM_2019",,
Indonesia,87 000 000,"Source:GARPR 2002- 2014",,,,,115 000 000,"Source:GAM_2019",173 000 000,"Source:GAM_2019",152 000 000,"Source:GAM_2020",119 000 000,"Source:GAM_2020",,
Iran (Islamic Republic of),74 500 000,"Source:GARPR 2015",,,,,,,,,,,,,,
Jamaica,17 100 000,"Source:GARPR 2015",12 600 000,"Source:GAM 2017",15 500 000,"Source:GAM 2017",16 800 000,"Source:GAM_2018",19 500 000,"Source:GAM_2018",,,,,,
Jordan,2 000 000,"Source:GARPR 2002- 2014",1 100 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Kazakhstan,37 800 000,"Source:GARPR 2002- 2014",37 800 000,"Source:GARPR 2002- 2014",43 000 000,"Source:GARPR 2015",34 000 000,"Source:GAM 2017",31 800 000,"Source:GAM 2017",34 800 000,"Source:GAM_2018",33 600 000,"Source:GAM_2019",35 200 000,"Source:GAM_2020"
Kenya,741 000 000,"Source:GAM 2017",800 000 000,"Source:GAM_2018",1 070 000 000,"Source:GAM_2018",,,948 000 000,"Source:GAM_2018",1 170 000 000,"Source:GAM_2018",,,755 000 000,"Source:GAM_2020"
Kiribati,340 000,"Source:GARPR 2002- 2014",,,670 000,"Source:GARPR 2015",,,250 000,"Source:GAM 2017 validated records",1 200 000,"Source:GAM_2018",220 000,"Source:GAM_2019",170 000,"Source:GAM_2020"
Kuwait,59 500 000,"Source:GARPR 2002- 2014",59 500 000,"Source:GARPR 2002- 2014",22 400 000,"Source:GARPR 2015",,,32 400 000,"Source:GAM 2017",,,,,,
Kyrgyzstan,13 400 000,"Source:GARPR 2002- 2014",17 600 000,"Source:GARPR 2002- 2014",16 000 000,"Source:GARPR 2015",,,22 000 000,"Source:GAM_2018",17 300 000,"Source:GAM_2018",10 000 000,"Source:GAM_2019",6 900 000,"Source:GAM_2020"
Lao People's Democratic Republic,,,,,,,,,8 300 000,"Source:GAM_2018",4 600 000,"Source:GAM_2018",,,1 100 000,"Source:GAM_2020"
Latvia,620 000,"Source:GARPR 2002- 2014",9 500 000,"Source:GARPR 2002- 2014",8 800 000,"Source:GARPR 2015",,,10 300 000,"Source:GAM 2017",14 100 000,"Source:GAM_2018",,,,
Lebanon,,,5 200 000,"Source:GARPR 2002- 2014",,,,,,,780 000,"Source:GAM_2018",,,6 800 000,"Source:GAM_2020"
Lesotho,,,63 500 000,"Source:GAM 2017",115 000 000,"Source:GAM 2017",99 300 000,"Source:GAM_2020",101 000 000,"Source:GAM_2020",110 000 000,"Source:GAM_2020",,,,
Liberia,,,,,11 500 000,"Source:GAM_2019",10 300 000,"Source:GAM_2019",,,,,,,,
Lithuania,2 500 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,2 800 000,"Source:GAM_2018",,,,
Madagascar,9 800 000,"Source:GARPR 2002- 2014",14 700 000,"Source:GAM_2018",12 700 000,"Source:GAM_2018",16 900 000,"Source:GAM_2018",9 100 000,"Source:GAM_2018",12 000 000,"Source:GAM_2018",150 000,"Source:GAM_2020",,
Malawi,146 000 000,"Source:GARPR 2015",,,,,228 000 000,"Source:GAM_2018",228 000 000,"Source:GAM_2018",218 000 000,"Source:GAM_2018",,,259 000 000,"Source:GAM_2020"
Malaysia,56 600 000,"Source:GARPR 2002- 2014",58 100 000,"Source:GARPR 2002- 2014",53 800 000,"Source:GARPR 2015",,,,,36 900 000,"Source:GAM_2018",,,24 400 000,"Source:GAM_2020"
Mali,21 800 000,"Source:GARPR 2002- 2014",,,,,,,33 200 000,"Source:GAM_2020",,,,,33 200 000,"Source:GAM_2020"
Marshall Islands,450 000,"Source:GARPR 2002- 2014",520 000,"Source:GARPR 2015",680 000,"Source:GARPR 2015",,,,,,,,,,
Mauritania,3 900 000,"Source:GARPR 2002- 2014",2 700 000,"Source:GARPR 2002- 2014",,,,,,,,,3 600 000,"Source:GAM_2019",,
Mauritius,,,,,,,,,,,,,7 500 000,"Source:GAM_2019",,
Mexico,,,708 000 000,"Source:GAM_2018",,,936 000 000,"Source:GAM_2018",,,,,,,,
Micronesia (Federated States of),450 000,"Source:GARPR 2002- 2014",520 000,"Source:GARPR 2002- 2014",340 000,"Source:GARPR 2015",,,,,410 000,"Source:GAM_2018",,,,
Mongolia,,,3 600 000,"Source:GARPR 2015",2 900 000,"Source:GARPR 2015",,,5 300 000,"Source:GAM_2019",,,,,2 000 000,"Source:GAM_2020"
Morocco,21 500 000,"Source:GARPR 2015",22 700 000,"Source:GARPR 2015",,,22 100 000,"Source:GARPR 2016 pending country verification",22 100 000,"Source:GAM 2017",39 100 000,"Source:GAM_2018",,,,
Mozambique,257 000 000,"Source:GARPR 2015",354 000 000,"Source:GARPR 2015",354 000 000,"Source:GARPR 2015",344 000 000,"Source:GAM 2017 validated records",330 000 000,"Source:GAM 2017 validated records",,,,,558 000 000,"Source:GAM_2020"
Myanmar,42 200 000,"Source:GARPR 2015",56 400 000,"Source:GARPR 2015",,,,,86 200 000,"Source:GAM_2019",106 000 000,"Source:GAM_2019",,,,
Namibia,206 000 000,"Source:GARPR 2015",213 000 000,"Source:GAM_2018",201 000 000,"Source:GAM_2018",,,163 000 000,"Source:GAM_2020",283 000 000,"Source:GAM_2019",,,,
Nepal,,,16 400 000,"Source:GAM_2018",18 800 000,"Source:GAM_2018",,,18 900 000,"Source:GAM_2019",20 000 000,"Source:GAM_2019",15 800 000,"Source:GAM_2019",120 000,"Source:GAM_2020"
New Zealand,,,,,,,,,,,30 100 000,"Source:GAM_2018",,,,
Niger,16 100 000,"Source:GARPR 2002- 2014",13 600 000,"Source:GAM_2018",10 900 000,"Source:GAM_2018",14 400 000,"Source:GAM_2018",18 800 000,"Source:GAM_2018",32 200 000,"Source:GAM_2018",,,,
Nigeria,574 000 000,"Source:GARPR 2002- 2014",,,,,502 000 000,"Source:GAM_2020",553 000 000,"Source:GAM_2020",560 000 000,"Source:GAM_2020",532 000 000,"Source:GAM_2020",,
Oman,5 400 000,"Source:GARPR 2002- 2014",3 900 000,"Source:GARPR 2002- 2014",4 300 000,"Source:GARPR 2015",,,,,,,,,,
Pakistan,10 500 000,"Source:GARPR 2002- 2014",10 000 000,"Source:GARPR 2002- 2014",,,,,,,,,,,8 400 000,"Source:GAM_2020"
Palau,,,410 000,"Source:GARPR 2002- 2014",30 000,"Source:GARPR 2002- 2014",,,,,,,,,,
Panama,47 800 000,"Source:GARPR 2015",,,,,,,,,,,55 000 000,"Source:GAM_2020",,
Papua New Guinea,36 700 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Paraguay,13 700 000,"Source:GARPR 2002- 2014",14 900 000,"Source:GARPR 2002- 2014",,,,,,,,,2 200 000,"Source:GAM_2020",3 800 000,"Source:GAM_2020"
Peru,,,74 900 000,"Source:GARPR 2002- 2014",78 100 000,"Source:GARPR 2015",,,,,,,,,,
Philippines,9 600 000,"Source:GARPR 2002- 2014",10 300 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Poland,83 300 000,"Source:GARPR 2002- 2014",90 200 000,"Source:GARPR 2002- 2014",83 700 000,"Source:GARPR 2015",,,,,,,,,,
Portugal,10 400 000,"Source:GARPR 2002- 2014",275 000 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Republic of Moldova,9 600 000,"Source:GARPR 2015",7 900 000,"Source:GAM_2018",9 200 000,"Source:GAM_2018",7 400 000,"Source:GAM_2018",7 500 000,"Source:GAM_2018",8 500 000,"Source:GAM_2018",8 200 000,"Source:GAM_2019",8 700 000,"Source:GAM_2020"
Romania,34 600 000,"Source:GARPR 2002- 2014",,,98 500 000,"Source:GARPR 2015",,,,,71 000 000,"Source:GAM_2018",,,,
Russian Federation,,,546 000 000,"Source:GARPR 2015",513 000 000,"Source:GARPR 2015",,,,,703 000 000,"Source:GAM_2018",,,,
Rwanda,244 000 000,"Source:GARPR 2002- 2014",,,196 000 000,"Source:GAM_2018",218 000 000,"Source:GAM_2018",,,,,,,,
Saint Kitts and Nevis,82 000,"Source:GARPR 2002- 2014",85 000,"Source:GARPR 2002- 2014",,,,,,,200 000,"Source:GAM_2018",230 000,"Source:GAM_2019",220 000,"Source:GAM_2020"
Saint Lucia,,,,,,,,,110 000,"Source:GAM 2017",150 000,"Source:GAM_2018",,,250 000,"Source:GAM_2020"
Saint Vincent and the Grenadines,1 500 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Samoa,,,900 000,"Source:GARPR 2002- 2014",,,,,,,200 000,"Source:GAM_2018",170 000,"Source:GAM_2019",80 000,"Source:GAM_2020"
Sao Tome and Principe,440 000,"Source:GARPR 2002- 2014",820 000,"Source:GARPR 2002- 2014",750 000,"Source:GARPR 2015",,,,,,,,,,
Senegal,25 100 000,"Source:GARPR 2016 pending country verification",22 400 000,"Source:GARPR 2016 pending country verification",17 200 000,"Source:GAM_2018",12 800 000,"Source:GAM_2018",,,,,,,,
Serbia,13 400 000,"Source:GARPR 2002- 2014",16 300 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Seychelles,4 700 000,"Source:GARPR 2015",2 900 000,"Source:GARPR 2015",3 600 000,"Source:GARPR 2015",,,10 100 000,"Source:GAM 2017",,,3 700 000,"Source:GAM_2020",1 900 000,"Source:GAM_2020"
Singapore,23 700 000,"Source:GARPR 2002- 2014",23 700 000,"Source:GARPR 2002- 2014",23 200 000,"Source:GARPR 2015",,,27 000 000,"Source:GAM 2017",52 100 000,"Source:GAM_2018",,,,
Solomon Islands,,,,,,,,,,,,,1 200 000,"Source:GAM_2019",,
Somalia,,,,,,,,,,,,,6 000 000,"Source:GAM_2019",6 500 000,"Source:GAM_2020"
South Africa,,,,,1 850 000 000,"Source:GAM 2017",,,,,2 430 000 000,"Source:GAM_2019",2 500 000 000,"Source:GAM_2020",,
South Sudan,24 200 000,"Source:GARPR 2002- 2014",,,,,25 000 000,"Source:GAM_2020",44 200 000,"Source:GAM_2020",,,13 000 000,"Source:GAM_2020",,
Spain,978 000 000,"Source:GARPR 2002- 2014",919 000 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Sri Lanka,,,1 200 000,"Source:GARPR 2015",,,,,,,,,,,4 300 000,"Source:GAM_2020"
Sudan,18 500 000,"Source:GARPR 2002- 2014",13 800 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Switzerland,3 400 000,"Source:GARPR 2002- 2014",,,8 000 000,"Source:GAM 2017",7 200 000,"Source:GAM 2017",7 200 000,"Source:GAM 2017",,,,,,
Tajikistan,12 700 000,"Source:GARPR 2002- 2014",14 100 000,"Source:GARPR 2002- 2014",,,,,,,11 800 000,"Source:GAM_2018",4 400 000,"Source:GAM_2019",,
Thailand,283 000 000,"Source:GARPR 2002- 2014",287 000 000,"Source:GARPR 2002- 2014",,,,,,,,,259 000 000,"Source:GAM_2020",296 000 000,"Source:GAM_2020"
The former Yugoslav Republic of Macedonia,,,,,,,,,,,,,,,2 300 000,"Source:GAM_2020"
Togo,20 500 000,"Source:GARPR 2002- 2014",26 900 000,"Source:GARPR 2015",25 300 000,"Source:GARPR 2015",18 200 000,"Source:GAM 2017",24 600 000,"Source:GAM_2018",38 900 000,"Source:GAM_2019",,,20 400 000,"Source:GAM_2020"
Tonga,,,,,160 000,"Source:GARPR 2015",,,,,,,,,,
Turkey,12 300 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Tuvalu,,,34 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Ukraine,124 000 000,"Source:GARPR 2015",,,,,97 700 000,"Source:GAM 2017 validated records",104 000 000,"Source:GAM_2018",108 000 000,"Source:GAM_2020",,,,
United Arab Emirates,32 500 000,"Source:GARPR 2002- 2014",,,,,,,,,34 600 000,"Source:GAM_2018",,,18 500 000,"Source:GAM_2020"
United Kingdom,,,,,,,,,166 000 000,"Source:GAM_2018",,,,,,
United Republic of Tanzania,,,,,,,,,,,,,440 000 000,"Source:GAM_2020",533 000 000,"Source:GAM_2020"
Uzbekistan,24 100 000,"Source:GARPR 2002- 2014",21 300 000,"Source:GARPR 2002- 2014",19 100 000,"Source:GARPR 2015",,,,,,,,,3 000 000,"Source:GAM_2020"
Vanuatu,330 000,"Source:GARPR 2002- 2014",870 000,"Source:GARPR 2002- 2014",,,,,87 000,"Source:GAM 2017",,,,,,
Venezuela (Bolivarian Republic of),66 600 000,"Source:GARPR 2002- 2014",72 600 000,"Source:GARPR 2002- 2014",,,,,9 000 000,"Source:GAM_2018",370 000,"Source:GAM_2018",26 900 000,"Source:GAM_2019",15 100 000,"Source:GAM_2020"
Viet Nam,95 400 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Zambia,282 000 000,"Source:GARPR 2002- 2014",,,,,,,,,440 000 000,"Source:GAM_2019",,,,
Zimbabwe,309 000 000,"Source:GARPR 2002- 2014",253 000 000,"Source:GARPR 2002- 2014",,,,,409 000 000,"Source:GAM_2019",418 000 000,"Source:GAM_2019",,,374 000 000,"Source:GAM_2020"
